"Percentages are of group total unless specified ","Control group (%) ","Intervention group (%) "
Gender,,
Male,31/101 (30.69),29/99 (29.29)
Female,70/101 (69.31),70/99 (70.71)
Age,,
Mean (SD),20.60 (2.39),20.39 (2.42)
16–19 years,33/101 (32.67),36/99 (36.36)
20–24 years,68/101 (67.33),63/99 (63.64)
Ethnicity,,
White,55/101 (54.46),59/99 (59.60)
Black,32/101 (31.68),21/99 (21.21)
Asian,0/101 (0.0),2/99 (2.0)
Chinese,0/101 (0.0),0/99 (0.0)
Other,14/101 (13.86),17/99 (17.17)
Refused/missing,0/101 (0.0),0/99 (0.0)
Sexual orientation,,
Heterosexual,83/101 (82.18),88/99 (88.89)
Gay or lesbian,5/101 (4.95),3/99 (3.03)
Bisexual,10/101 (9.90),5/99 (5.05)
Refused/missing,3/101 (2.97),3/99 (3.03)
STI infection at baseline,,
No infection,53/101 (52.48),58/99 (58.59)
Chlamydia-positive,42/101 (41.58),35/99 (35.35)
Gonorrhoea/NSU,5/101 (4.95),5/99 (5.05)
Chlamydia/gonorrhoea/,1/101 (0.99),1/99 (1.01)
NSU diagnosis,,
Sexual behaviour,,
Condom use at last sex,35/101 (34.65),32/99 (32.32)
Condom use at last sex,52/101 (51.49),48/99 (48.48)
with someone new,,
Testing prior to last sex,37/101 (36.63),32/99 (32.32)
with someone new,,
Partner testing at last,12/101 (11.88),11/99 (11.11)
sex with someone new*,,
Number of sexual partners in last 12 months,,
0,,
0/101 (0.0),,0/99 (0.0)
1,,
9/101 (8.91),,6/99 (6.06)
2+,,
92/101 (91.09),,93/99 (93.94)
