"n ","Baseline QTR 3 ","QTR 4 ","Week 14 QTR 3 ","QTR 4 ","p value^{a} ","Cohen’s d "
Response time variability,,,,,,
PCSO-524®,,,,,,
24,250.55 ± 94.20,262.05 ± 108.14,241.25 ± 57,254.42 ± 85.89,0.30,0.45
Placebo,264.60 ± 122.51,270.56 ± 136.35,283.75 ± 103.90,294.79 ± 100.07,,
Response time,,,,,,
PCSO-524®,,,,,,
25,547.14 ± 123.16,540.50 ± 161.68,586.48 ± 145.97,589.37 ± 152.46,0.65,0.14
Placebo,541.40 ± 133.95,531.24 ± 150.48,582.00 ± 171.18,551.71 ± 133.53,,
D′prime,,,,,,
PCSO-524®,,,,,,
24,1.49 ± 1.18,1.11 ± 0.92,1.76 ± 1.74,1.29 ± 1.62,0.49,0.23
Placebo,1.24 ± 1.21,1.22 ± 1.10,1.24 ± 1.29,1.12 ± 0.97,,
Correct response,,,,,,
PCSO-524®,,,,,,
25,87.48 ± 34.20,83.10 ± 34.48,78.10 ± 34.93,68.11 ± 35.87,0.56,0.03
Placebo,84.70 ± 35.34,82.18 ± 36.44,72.69 ± 33.95,71.57 ± 33.43,,
Correct non-response,,,,,,
PCSO-524®,,,,,,
25,23.33 ± 8.60,19.95 ± 8.65,26.52 ± 8.35,26.00 ± 8.75,0.70,0.12
Placebo,21.70 ± 7.00,20.88 ± 7.94,24.69 ± 6.73,25.88 ± 7.82,,
Errors of omission,,,,,,
PCSO-524®,,,,,,
21,0.27 ± 0.27,0.29 ± 0.27,0.34 ± 0.27,0.41 ± 0.29,0.99,0.03
Placebo,0.28 ± 0.21,0.32 ± 0.26,0.37 ± 0.26,0.36 ± 0.25,,
Errors of commission,,,,,,
PCSO-524®,,,,,,
21,0.34 ± 0.23,0.41 ± 0.22,0.27 ± 0.22,0.28 ± 0.23,0.63,0.11
Placebo,0.36 ± 0.17,0.37 ± 0.19,0.28 ± 0.17,0.31 ± 0.18,,
Post commission,,,,,,
PCSO-524®,,,,,,
24,10.29 ± 5.84,11.45 ± 5.32,7.15 ± 4.85,7.22 ± 8.67,0.26,0.30
Placebo,11.00 ± 5.14,10.65 ± 5.43,8.88 ± 4.75,8.43 ± 5.14,,
Post commission response time,,,,,,
PCSO-524®,,,,,,
24,,,,,,
545.76 ± 146.87,,541.00 ± 178.39,587.30 ± 171.72,549.39 ± 190.90,0.99,0.09
Placebo,,,,,,
588.65 ± 220.08,,532.76 ± 125.79,638.31 ± 233.62,533.07 ± 185.12,,
Post commission variability,,,,,,
PCSO-524®,,,,,,
24,,,,,,
189.90 ± 132.14,,217.10 ± 132.14,217.35 ± 154.35,267.00 ± 144.74,0.84,0.13
Placebo,,,,,,
235.35 ± 164.26,,283.24 ± 145.12,240.38 ± 171.10,203.21 ± 144.98,,
Anticipatory response,,,,,,
PCSO-524®,,,,,,
24,,,,,,
0.05 ± 0.10,,0.07 ± 0.12,0.06 ± 0.14,0.07 ± 0.14,0.86,0.06
Placebo,,,,,,
0.06 ± 0.12,,0.09 ± 0.18,0.05 ± 0.06,0.06 ± 0.08,,
Multiple responses,,,,,,
PCSO-524®,,,,,,
24,,,,,,
3.33 ± 5.35,,6.70 ± 6.07,2.90 ± 4.91,4.79 ± 6.17,0.05,0.48
Placebo,,,,,,
5.85 ± 7.13,,7.00 ± 7.35,7.19 ± 6.59,6.21 ± 6.42,,
