"Outcome Total energy, kJ^{d} ","Time point Trial entry ","Lifestyle advice_{b} (n = 945) 8678.89 (2690.39) ","Standard care (n = 928) 8501.40 (2565.19) ","_{b} ","Adjusted treatment × time interaction P-value 0.99 ","_{c} ","P 0.09 ","95% CI 178.60 (−26.56 to 383.77) "
"Breads and cereals,_{d}",28 weeks,8772.33 (2545.60),8675.26 (2792.00),0.82,0.27,0.06 (−0.04 to 0.16)
servings/day,36 weeks,8667.72 (2585.28),8568.86 (2751.49),,,
"",4 months,8763.08 (2694.71),8628.89 (2686.06),,,
"",Trial entry,2.63 (1.45),2.61 (1.43),,,
"Dairy, servings/day",28 weeks,2.65 (1.34),2.59 (1.42),0.002,0.02,−0.17 (−0.30 to −0.03)
"",36 weeks,2.66 (1.33),2.59 (1.42),,0.09,0.12 (−0.02 to 0.25)
"",4 months,2.58 (1.39),2.51 (1.37),,0.24,0.09 (−0.06 to 0.24)
"",Trial entry,2.05 (1.34),2.21 (1.52),,0.56,0.05 (−0.11 to 0.21)
"Fruit, servings/day^{d}",28 weeks,2.30 (1.24),2.24 (1.39),0.44,0.002,0.21 (0.08 to 0.35)
"",36 weeks,2.42 (1.42),2.33 (1.40),,,
"",4 months,2.28 (1.36),2.24 (1.42),,,
"",Trial entry,2.67 (2.07),2.48 (1.63),,,
"Meat and legumes,_{d}",28 weeks,2.70 (1.62),2.43 (1.74),0.67,0.14,0.06 (−0.02 to 0.14)
servings/day,36 weeks,2.56 (1.47),2.34 (1.67),,,
"",4 months,2.24 (1.64),2.11 (1.56),,,
"",Trial entry,2.14 (1.03),2.10 (0.94),,,
"Vegetables, servings/day",28 weeks,2.17 (1.08),2.10 (0.97),0.03,0.30,0.13 (−0.12 to 0.38)
"",36 weeks,2.14 (0.91),2.08 (1.05),,0.0002,0.47 (0.22 to 0.72)
"",4 months,2.30 (0.95),2.29 (1.08),,0.003,0.40 (0.13 to 0.67)
"",Trial entry,4.96 (2.64),4.82 (2.57),,0.003,0.50 (0.17 to 0.82)
Non-core group,28 weeks,5.16 (2.68),4.71 (2.37),0.01,0.10,0.29 (−0.06 to 0.65)
"foods, servings/day",36 weeks,4.87 (2.54),4.51 (2.65),,0.17,−0.24 (−0.58 to 0.10)
"",4 months,5.63 (3.12),5.24 (2.62),,0.72,−0.06 (−0.41 to 0.28)
"",Trial entry,7.51 (3.81),7.27 (3.61),,0.41,0.17 (−0.24 to 0.59)
"Alcohol, g^{d}",28 weeks,6.84 (3.24),7.14 (3.41),0.59,0.20,0.07 (−0.03 to 0.17)
"",36 weeks,6.86 (3.54),6.96 (3.24),,,
"",4 months,8.15 (3.69),7.95 (3.76),,,
"",Trial entry,2.25 (5.21),2.48 (6.47),,,
"Dietary fibre, g^{d}",28 weeks,0.34 (1.35),0.25 (0.86),0.16,0.002,1.55 (0.55 to 2.56)
"",36 weeks,0.31 (1.42),0.27 (1.06),,,
"",4 months,2.27 (4.04),2.18 (4.92),,,
"",Trial entry,32.39 (12.91),31.64 (12.43),,,
"Carbohydrates, g^{d}",28 weeks,33.75 (12.39),31.88 (12.42),0.69,0.06,6.55 (−0.19 to 13.29)
"",36 weeks,32.78 (11.80),30.93 (12.89),,,
"",4 months,34.09 (13.61),32.50 (12.68),,,
"",Trial entry,255.27 (90.54),246.38 (83.50),,,
Percentage energy,28 weeks,258.11 (82.97),255.89 (93.44),,,
"_{d}",36 weeks,253.61 (85.76),251.43 (90.66),0.23,0.39,0.19 (−0.24 to 0.62)
from carbohydrates,4 months,247.86 (89.54),243.25 (88.71),,,
